Decimal_Value,Bit_9,Bit_8,Bit_7,Bit_6,Bit_5,Bit_4,Bit_3,Bit_2,Bit_1,Bit_0
273,0,1,0,0,0,1,0,0,0,1
46,0,0,0,0,1,0,1,1,1,0
767,1,0,1,1,1,1,1,1,1,1
232,0,0,1,1,1,0,1,0,0,0
251,0,0,1,1,1,1,1,0,1,1
344,0,1,0,1,0,1,1,0,0,0
27,0,0,0,0,0,1,1,0,1,1
861,1,1,0,1,0,1,1,1,0,1
331,0,1,0,1,0,0,1,0,1,1
1022,1,1,1,1,1,1,1,1,1,0
510,0,1,1,1,1,1,1,1,1,0
726,1,0,1,1,0,1,0,1,1,0
667,1,0,1,0,0,1,1,0,1,1
512,1,0,0,0,0,0,0,0,0,0
737,1,0,1,1,1,0,0,0,0,1
21,0,0,0,0,0,1,0,1,0,1
233,0,0,1,1,1,0,1,0,0,1
624,1,0,0,1,1,1,0,0,0,0
137,0,0,1,0,0,0,1,0,0,1
28,0,0,0,0,0,1,1,1,0,0
302,0,1,0,0,1,0,1,1,1,0
10,0,0,0,0,0,0,1,0,1,0
244,0,0,1,1,1,1,0,1,0,0
1021,1,1,1,1,1,1,1,1,0,1
656,1,0,1,0,0,1,0,0,0,0
646,1,0,1,0,0,0,0,1,1,0
284,0,1,0,0,0,1,1,1,0,0
981,1,1,1,1,0,1,0,1,0,1
929,1,1,1,0,1,0,0,0,0,1
121,0,0,0,1,1,1,1,0,0,1
111,0,0,0,1,1,0,1,1,1,1
657,1,0,1,0,0,1,0,0,0,1
755,1,0,1,1,1,1,0,0,1,1
179,0,0,1,0,1,1,0,0,1,1
326,0,1,0,1,0,0,0,1,1,0
620,1,0,0,1,1,0,1,1,0,0
588,1,0,0,1,0,0,1,1,0,0
986,1,1,1,1,0,1,1,0,1,0
912,1,1,1,0,0,1,0,0,0,0
222,0,0,1,1,0,1,1,1,1,0
831,1,1,0,0,1,1,1,1,1,1
391,0,1,1,0,0,0,0,1,1,1
933,1,1,1,0,1,0,0,1,0,1
380,0,1,0,1,1,1,1,1,0,0
357,0,1,0,1,1,0,0,1,0,1
972,1,1,1,1,0,0,1,1,0,0
681,1,0,1,0,1,0,1,0,0,1
341,0,1,0,1,0,1,0,1,0,1
852,1,1,0,1,0,1,0,1,0,0
581,1,0,0,1,0,0,0,1,0,1
75,0,0,0,1,0,0,1,0,1,1
367,0,1,0,1,1,0,1,1,1,1
679,1,0,1,0,1,0,0,1,1,1
281,0,1,0,0,0,1,1,0,0,1
342,0,1,0,1,0,1,0,1,1,0
351,0,1,0,1,0,1,1,1,1,1
572,1,0,0,0,1,1,1,1,0,0
599,1,0,0,1,0,1,0,1,1,1
746,1,0,1,1,1,0,1,0,1,0
371,0,1,0,1,1,1,0,0,1,1
455,0,1,1,1,0,0,0,1,1,1
484,0,1,1,1,1,0,0,1,0,0
852,1,1,0,1,0,1,0,1,0,0
307,0,1,0,0,1,1,0,0,1,1
930,1,1,1,0,1,0,0,0,1,0
291,0,1,0,0,1,0,0,0,1,1
588,1,0,0,1,0,0,1,1,0,0
495,0,1,1,1,1,0,1,1,1,1
601,1,0,0,1,0,1,1,0,0,1
886,1,1,0,1,1,1,0,1,1,0
847,1,1,0,1,0,0,1,1,1,1
375,0,1,0,1,1,1,0,1,1,1
641,1,0,1,0,0,0,0,0,0,1
105,0,0,0,1,1,0,1,0,0,1
401,0,1,1,0,0,1,0,0,0,1
760,1,0,1,1,1,1,1,0,0,0
838,1,1,0,1,0,0,0,1,1,0
102,0,0,0,1,1,0,0,1,1,0
230,0,0,1,1,1,0,0,1,1,0
832,1,1,0,1,0,0,0,0,0,0
314,0,1,0,0,1,1,1,0,1,0
98,0,0,0,1,1,0,0,0,1,0
437,0,1,1,0,1,1,0,1,0,1
82,0,0,0,1,0,1,0,0,1,0
269,0,1,0,0,0,0,1,1,0,1
258,0,1,0,0,0,0,0,0,1,0
741,1,0,1,1,1,0,0,1,0,1
428,0,1,1,0,1,0,1,1,0,0
358,0,1,0,1,1,0,0,1,1,0
60,0,0,0,0,1,1,1,1,0,0
409,0,1,1,0,0,1,1,0,0,1
127,0,0,0,1,1,1,1,1,1,1
6,0,0,0,0,0,0,0,1,1,0
299,0,1,0,0,1,0,1,0,1,1
646,1,0,1,0,0,0,0,1,1,0
330,0,1,0,1,0,0,1,0,1,0
134,0,0,1,0,0,0,0,1,1,0
575,1,0,0,0,1,1,1,1,1,1
959,1,1,1,0,1,1,1,1,1,1
998,1,1,1,1,1,0,0,1,1,0
523,1,0,0,0,0,0,1,0,1,1
154,0,0,1,0,0,1,1,0,1,0
248,0,0,1,1,1,1,1,0,0,0
344,0,1,0,1,0,1,1,0,0,0
288,0,1,0,0,1,0,0,0,0,0
523,1,0,0,0,0,0,1,0,1,1
32,0,0,0,0,1,0,0,0,0,0
394,0,1,1,0,0,0,1,0,1,0
103,0,0,0,1,1,0,0,1,1,1
702,1,0,1,0,1,1,1,1,1,0
438,0,1,1,0,1,1,0,1,1,0
129,0,0,1,0,0,0,0,0,0,1
575,1,0,0,0,1,1,1,1,1,1
902,1,1,1,0,0,0,0,1,1,0
692,1,0,1,0,1,1,0,1,0,0
235,0,0,1,1,1,0,1,0,1,1
724,1,0,1,1,0,1,0,1,0,0
516,1,0,0,0,0,0,0,1,0,0
1017,1,1,1,1,1,1,1,0,0,1
104,0,0,0,1,1,0,1,0,0,0
468,0,1,1,1,0,1,0,1,0,0
492,0,1,1,1,1,0,1,1,0,0
278,0,1,0,0,0,1,0,1,1,0
308,0,1,0,0,1,1,0,1,0,0
287,0,1,0,0,0,1,1,1,1,1
474,0,1,1,1,0,1,1,0,1,0
37,0,0,0,0,1,0,0,1,0,1
785,1,1,0,0,0,1,0,0,0,1
542,1,0,0,0,0,1,1,1,1,0
177,0,0,1,0,1,1,0,0,0,1
365,0,1,0,1,1,0,1,1,0,1
318,0,1,0,0,1,1,1,1,1,0
578,1,0,0,1,0,0,0,0,1,0
887,1,1,0,1,1,1,0,1,1,1
258,0,1,0,0,0,0,0,0,1,0
890,1,1,0,1,1,1,1,0,1,0
885,1,1,0,1,1,1,0,1,0,1
203,0,0,1,1,0,0,1,0,1,1
852,1,1,0,1,0,1,0,1,0,0
978,1,1,1,1,0,1,0,0,1,0
121,0,0,0,1,1,1,1,0,0,1
880,1,1,0,1,1,1,0,0,0,0
50,0,0,0,0,1,1,0,0,1,0
250,0,0,1,1,1,1,1,0,1,0
399,0,1,1,0,0,0,1,1,1,1
654,1,0,1,0,0,0,1,1,1,0
30,0,0,0,0,0,1,1,1,1,0
375,0,1,0,1,1,1,0,1,1,1
128,0,0,1,0,0,0,0,0,0,0
108,0,0,0,1,1,0,1,1,0,0
399,0,1,1,0,0,0,1,1,1,1
50,0,0,0,0,1,1,0,0,1,0
515,1,0,0,0,0,0,0,0,1,1
918,1,1,1,0,0,1,0,1,1,0
185,0,0,1,0,1,1,1,0,0,1
104,0,0,0,1,1,0,1,0,0,0
453,0,1,1,1,0,0,0,1,0,1
998,1,1,1,1,1,0,0,1,1,0
881,1,1,0,1,1,1,0,0,0,1
762,1,0,1,1,1,1,1,0,1,0
682,1,0,1,0,1,0,1,0,1,0
418,0,1,1,0,1,0,0,0,1,0
481,0,1,1,1,1,0,0,0,0,1
129,0,0,1,0,0,0,0,0,0,1
581,1,0,0,1,0,0,0,1,0,1
425,0,1,1,0,1,0,1,0,0,1
153,0,0,1,0,0,1,1,0,0,1
643,1,0,1,0,0,0,0,0,1,1
777,1,1,0,0,0,0,1,0,0,1
913,1,1,1,0,0,1,0,0,0,1
279,0,1,0,0,0,1,0,1,1,1
58,0,0,0,0,1,1,1,0,1,0
635,1,0,0,1,1,1,1,0,1,1
592,1,0,0,1,0,1,0,0,0,0
952,1,1,1,0,1,1,1,0,0,0
912,1,1,1,0,0,1,0,0,0,0
536,1,0,0,0,0,1,1,0,0,0
91,0,0,0,1,0,1,1,0,1,1
989,1,1,1,1,0,1,1,1,0,1
308,0,1,0,0,1,1,0,1,0,0
75,0,0,0,1,0,0,1,0,1,1
554,1,0,0,0,1,0,1,0,1,0
206,0,0,1,1,0,0,1,1,1,0
702,1,0,1,0,1,1,1,1,1,0
941,1,1,1,0,1,0,1,1,0,1
176,0,0,1,0,1,1,0,0,0,0
889,1,1,0,1,1,1,1,0,0,1
118,0,0,0,1,1,1,0,1,1,0
796,1,1,0,0,0,1,1,1,0,0
779,1,1,0,0,0,0,1,0,1,1
530,1,0,0,0,0,1,0,0,1,0
1020,1,1,1,1,1,1,1,1,0,0
162,0,0,1,0,1,0,0,0,1,0
790,1,1,0,0,0,1,0,1,1,0
470,0,1,1,1,0,1,0,1,1,0
584,1,0,0,1,0,0,1,0,0,0
708,1,0,1,1,0,0,0,1,0,0
97,0,0,0,1,1,0,0,0,0,1
444,0,1,1,0,1,1,1,1,0,0
520,1,0,0,0,0,0,1,0,0,0
488,0,1,1,1,1,0,1,0,0,0
245,0,0,1,1,1,1,0,1,0,1
151,0,0,1,0,0,1,0,1,1,1
90,0,0,0,1,0,1,1,0,1,0
56,0,0,0,0,1,1,1,0,0,0
714,1,0,1,1,0,0,1,0,1,0
346,0,1,0,1,0,1,1,0,1,0
201,0,0,1,1,0,0,1,0,0,1
330,0,1,0,1,0,0,1,0,1,0
974,1,1,1,1,0,0,1,1,1,0
113,0,0,0,1,1,1,0,0,0,1
661,1,0,1,0,0,1,0,1,0,1
817,1,1,0,0,1,1,0,0,0,1
143,0,0,1,0,0,0,1,1,1,1
914,1,1,1,0,0,1,0,0,1,0
58,0,0,0,0,1,1,1,0,1,0
107,0,0,0,1,1,0,1,0,1,1
333,0,1,0,1,0,0,1,1,0,1
582,1,0,0,1,0,0,0,1,1,0
662,1,0,1,0,0,1,0,1,1,0
262,0,1,0,0,0,0,0,1,1,0
186,0,0,1,0,1,1,1,0,1,0
673,1,0,1,0,1,0,0,0,0,1
658,1,0,1,0,0,1,0,0,1,0
114,0,0,0,1,1,1,0,0,1,0
118,0,0,0,1,1,1,0,1,1,0
493,0,1,1,1,1,0,1,1,0,1
108,0,0,0,1,1,0,1,1,0,0
752,1,0,1,1,1,1,0,0,0,0
881,1,1,0,1,1,1,0,0,0,1
12,0,0,0,0,0,0,1,1,0,0
776,1,1,0,0,0,0,1,0,0,0
457,0,1,1,1,0,0,1,0,0,1
918,1,1,1,0,0,1,0,1,1,0
535,1,0,0,0,0,1,0,1,1,1
618,1,0,0,1,1,0,1,0,1,0
873,1,1,0,1,1,0,1,0,0,1
1013,1,1,1,1,1,1,0,1,0,1
733,1,0,1,1,0,1,1,1,0,1
921,1,1,1,0,0,1,1,0,0,1
265,0,1,0,0,0,0,1,0,0,1
189,0,0,1,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0
952,1,1,1,0,1,1,1,0,0,0
482,0,1,1,1,1,0,0,0,1,0
385,0,1,1,0,0,0,0,0,0,1
841,1,1,0,1,0,0,1,0,0,1
878,1,1,0,1,1,0,1,1,1,0
78,0,0,0,1,0,0,1,1,1,0
221,0,0,1,1,0,1,1,1,0,1
615,1,0,0,1,1,0,0,1,1,1
726,1,0,1,1,0,1,0,1,1,0
466,0,1,1,1,0,1,0,0,1,0
998,1,1,1,1,1,0,0,1,1,0
106,0,0,0,1,1,0,1,0,1,0
603,1,0,0,1,0,1,1,0,1,1
958,1,1,1,0,1,1,1,1,1,0
531,1,0,0,0,0,1,0,0,1,1
734,1,0,1,1,0,1,1,1,1,0
848,1,1,0,1,0,1,0,0,0,0
651,1,0,1,0,0,0,1,0,1,1
1016,1,1,1,1,1,1,1,0,0,0
254,0,0,1,1,1,1,1,1,1,0
119,0,0,0,1,1,1,0,1,1,1
265,0,1,0,0,0,0,1,0,0,1
645,1,0,1,0,0,0,0,1,0,1
940,1,1,1,0,1,0,1,1,0,0
388,0,1,1,0,0,0,0,1,0,0
165,0,0,1,0,1,0,0,1,0,1
767,1,0,1,1,1,1,1,1,1,1
183,0,0,1,0,1,1,0,1,1,1
745,1,0,1,1,1,0,1,0,0,1
664,1,0,1,0,0,1,1,0,0,0
503,0,1,1,1,1,1,0,1,1,1
787,1,1,0,0,0,1,0,0,1,1
614,1,0,0,1,1,0,0,1,1,0
536,1,0,0,0,0,1,1,0,0,0
240,0,0,1,1,1,1,0,0,0,0
379,0,1,0,1,1,1,1,0,1,1
564,1,0,0,0,1,1,0,1,0,0
961,1,1,1,1,0,0,0,0,0,1
121,0,0,0,1,1,1,1,0,0,1
632,1,0,0,1,1,1,1,0,0,0
776,1,1,0,0,0,0,1,0,0,0
61,0,0,0,0,1,1,1,1,0,1
616,1,0,0,1,1,0,1,0,0,0
302,0,1,0,0,1,0,1,1,1,0
893,1,1,0,1,1,1,1,1,0,1
556,1,0,0,0,1,0,1,1,0,0
