Transaction_ID,Amount,Transaction_Hour,Location_Risk,Device_Risk,Merchant_Risk,Transaction_Frequency,Fraud
1,89.72,22,18,30,47,3,0
2,47.55,11,63,63,19,5,0
3,104.34,16,92,4,15,10,0
4,250.39,7,47,77,28,6,1
5,43.2,10,75,59,24,7,0
6,43.2,2,57,87,72,6,1
7,264.86,5,45,8,9,2,0
8,117.62,8,33,82,47,1,0
9,34.14,5,17,12,33,10,0
10,93.93,8,70,31,62,3,0
11,34.35,6,4,78,97,6,0
12,34.27,8,20,34,19,5,0
13,69.54,17,47,82,67,3,0
14,8.06,11,91,98,74,5,0
15,9.73,7,15,75,40,1,0
16,31.12,7,70,76,47,4,0
17,19.83,17,47,49,65,4,0
18,74.76,19,78,79,29,5,0
19,22.02,14,75,57,50,3,0
20,13.3,6,9,95,98,2,1
21,236.43,10,90,93,13,1,0
22,43.56,19,16,26,1,3,0
23,58.41,15,69,18,34,7,0
24,13.13,3,61,96,93,4,0
25,31.68,5,10,86,48,5,0
26,61,21,50,38,77,5,0
27,17.27,2,3,81,48,3,0
28,79.5,8,77,87,49,4,0
29,29.94,9,94,88,64,4,0
30,40.78,13,70,50,61,5,0
31,29.91,10,81,8,29,5,0
32,348.03,17,51,41,39,2,0
33,53.87,21,19,6,88,6,1
34,18.96,11,42,69,26,4,0
35,124.28,22,35,44,17,7,0
36,16.11,11,46,64,71,4,0
37,67.28,12,26,29,13,9,0
38,7.69,12,69,28,69,5,0
39,14.47,18,93,11,26,9,0
40,66.48,18,64,65,49,5,0
41,114.26,22,37,19,67,5,0
42,64.8,13,84,9,7,6,0
43,48.64,3,49,27,58,6,0
44,40.4,12,21,34,49,5,0
45,12.45,7,74,44,53,3,0
46,26.58,22,64,68,65,4,0
47,34.44,20,5,100,62,6,0
48,157.14,22,100,82,17,1,0
49,76.99,18,70,15,43,3,0
50,9.36,11,90,51,25,5,0
51,75.5,17,4,13,3,5,1
52,37.15,5,39,83,79,4,0
53,27.75,17,35,49,29,5,0
54,100.65,18,1,70,32,10,0
55,153.09,21,24,56,26,1,0
56,138.56,4,57,76,16,5,0
57,23.59,23,100,51,25,1,0
58,40.08,8,70,37,54,6,0
59,76.04,2,41,17,28,5,0
60,144.83,9,54,58,73,5,0
61,33.81,18,46,87,56,4,0
62,45.35,2,60,90,65,6,1
63,18.06,21,60,29,93,5,0
64,16.51,14,57,33,86,3,1
65,123.04,0,31,60,80,8,0
66,211.93,6,84,91,41,6,0
67,50.8,11,24,89,51,3,0
68,148.94,16,89,55,71,9,1
69,78.39,20,36,10,78,2,0
70,28.64,23,85,47,29,5,0
71,78.37,19,30,23,83,5,0
72,254.18,4,24,85,19,2,0
73,52.68,3,30,21,66,4,0
74,261.03,11,86,13,41,4,0
75,5,19,92,33,45,7,0
76,124.2,23,7,24,15,5,0
77,59.56,17,35,11,3,5,0
78,40.49,16,55,17,11,2,0
79,59.85,18,92,68,53,7,0
80,7.48,8,14,47,46,4,0
81,43.83,3,10,25,30,4,0
82,78.03,20,80,94,57,4,0
83,239.34,1,16,73,18,5,0
84,32.52,3,54,21,51,7,0
85,24.33,1,95,84,48,8,0
86,33.06,14,89,83,66,3,0
87,136.37,1,77,83,96,4,1
88,75.85,3,70,12,8,4,0
89,32.14,5,44,37,22,5,0
90,91.22,6,73,42,6,5,0
91,60.16,9,45,17,76,4,0
92,143.83,18,100,48,57,6,1
93,27.06,18,56,28,36,6,0
94,39.34,21,84,41,79,5,0
95,36.89,11,82,99,92,9,1
